关键词,文章标题,公众号,发布日期,摘要,文章链接
自动化学会,江苏省自动化学会青年工作委员会2022年学术年会在南京召开,N/A,2022-11-09 15:00:37,"2022年10月29日,江苏省自动化学会青年工作委员会2022年学术年会由南京信息工程大学自动化学院线上举办.南京信息工程大学副...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfLYu3kG_eV4MZprN2UTwzd7P1EklhlD35JMrA2OwaT3DBS26j0gqNVbalVPrL_aTluw7k0aEMO1GapVYN7eB23vbycLLVaNpBDhQ9IgGRooKftcc07c_XQTI3OTRHYU2og..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,江苏省自动化学会自主无人系统专业委员会成立大会顺利召开,N/A,2022-06-05 17:35:06,"江苏省自动化学会自主无人系统专业委员会成立大会暨学术论坛于2022年5月29日下午,在南京信息工程大学南气宾馆召开.本次大会...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfKMvV6-CPvOuGA3dZFEhlSuuTJee0nXVGi2VEI5rcrqUUUdiYlyX4JKqHdMT_jwmbLfVdSJ-QoGA3qxMtPHE7jWa9-uoa0Q-Lkkd97p1rnj4jVVCCQEH-jR5LU3lqtPw9g..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,【学生分会】中国自动化学会山东科技大学学生分会成立大会暨智能自动化创新人才培养论坛召开,N/A,2023-12-20 20:44:21,"在高度重视青年人才培育的战略布局下,强化“科教兴国、人才强国”的国策方针,中国自动化学会积极响应国家号召,将学会培育青...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxSI_bhAyv-WoyUxMZnDMjtk8KzX82EW3XHttGcX12I_mp9HN-azvEmghMmvqUrPjaBEKiVf3BgF749KP2DEJMBDDXntYMEwYnKwkSgE_gzy4MMAtXfvxLGI89kyxDwoXvg..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,【CAA微周刊】中国自动化学会的一周(3月27日—4月2日),N/A,2026-04-03 22:08:09,"CAA智慧起航,共创未来中国自动化学会理事长杨孟飞:承六十五载初心,拓新质发展格局3月27日-3月28日,2026国家新质生产力与...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9cZJPMpDrlcPd8HT-3mmsUAxL63Wq7OfjX61tUDXrx8v3fxpuY_gOxSU-zdEqZ6xw2memJKMo9adR2NiYLYo_OI4qJJ26zD-ZnkxQUEhdfPtfcFuWCCnlb7R67IfyjL9Vhr9Da6WxPy1yAWJck30TKQ4BHSsgTkAqBXw3US87-5aTJmCU1UgHwQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,上海市自动化学会2023年会,N/A,2024-01-16 14:53:29,- annual meeting -年会盛典上海市自动化学会2023年会颁奖晚宴时间:2024年1月23日 17:30-20:30地址:上海中星铂尔曼大酒店宴会...,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9NiNYptEPlYTCVW8xRNbGD2ZY3Yh3F_Kmd5SpNe1xkqht-jXUdPMBQx4hg9d6EzRhppiIqfUmHtbzksL0fZOE5kdeSgpPMJDLMH1Yj9BK2F91dQ6v6QVDrAj5UeEYYhN-z_BrREHeFwpFExVZ2ks--3jc73sI_eJ5KPpZnOq8uxfI3OTRHYU2og..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,北京自动化学会给您拜年啦!,N/A,2026-02-16 19:04:23,"北京自动化学会给您拜年啦!祥龙辞岁,骏马迎春.值此新春佳节来临之际,北京自动化学会向长期以来关心支持学会发展的各级领导...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9n_dL576p0CqciR8oY4ZUo8BCcJqi_RrmgMbxekgeHte1d2qWIkbWiTe8r1ynlmjNrpn5CRfI5JBJnPz1I-lPv-5Z_-aLyut4lfeR2_FCvfxLGJmdOEA0yMdSGw6PXZBpHNj_E9OHr489bFSnF2WiexnESBi2US2PnRAuvnbainnyPfCoem7FzA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,中国发电自动化学会发电自动化专业委员会召开2020年工作会议,N/A,2020-11-02 16:39:14,"10月28日,中国自动化学会发电自动化专业委员会2020年工作会议在浙江省杭州市召开.发电自动化专委会委员、增补委员、顾问与...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd956Luwo1RrvpER9bYyxsDFlfKrb-Fh40Qsppc-6s9h9BMfLlsi1a49chXJfsyCUEK7t8WBfAptQ4q4_tBqCDd14Vkb-pqTIbDd_O-itpaAATQ7sIRoMh5LkoZpmQ6eG_pAIIX24JbeoG4kqyoOvgZxFp-BW4d75QKcjb_jDXkzUnzAjcIGepUqA..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,2019年自动化学会科学技术奖、会士等评审结果公示,N/A,2019-11-17 00:15:06,"为深入贯彻落实科学发展观,发现和激励科技创新人才,促进中国自动化科学技术事业的发展,中国自动化学会秘书处于2019年1月向...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9qdg_Yc6QGrE6ch3O8SvOSJzeVKvS58ItohfPjRed_jOGfAo894hLP7ZuK8E7q0Rii03pj6RAvMoHiBLy38TF85iA-7j2vP3q1xOSSruYJJEgVMIVZh5ee19DDP_f_5VH71RnnN4qLP97c57d57GFHHsy11cAzNSeDVVx9t0KYJACn9lOoZLP2Q..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,上海市自动化学会2020年度奖项结果,N/A,2021-01-13 14:14:49,"一年一度上海市自动化学会各项评选活动拉下帷幕,颁奖活动将于近期举行,恭喜以下获奖人员 最佳学士学位论文: 吴娴    上海交通...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iqq_-jEPbAHRvut9T0q3oY-lqXa8Fplpd9NiNYptEPlYTCVW8xRNbGD2ZY3Yh3F_Kmd5SpNe1xkqht-jXUdPMBQxENBkzUEdLeN-FOUBU_9_Dg3m2zKsmOoLHhDcrL6RJ3V1nPihZZtANngZw35kIDifpLnkEbfs6SDbe7nHygUxgmg7Ez92szy--f3fAAO3p5nX9drPHrJ3U89kyxDwoXvg..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,自动化学会能源互联网(优化与控制)专委会成立,N/A,2016-11-22 18:48:41,"经中国自动化学会常务理事会讨论通过,同意创建中国自动化学会能源互联网专业委员会.        专委会旨在为自动化、电气、能源、...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6ft3wfAVofsP5Peu-UiA4DPS62EIUkuoVlfOailJiEeCVgrFeYQugDt9EF9sKjrf6bDUjI3gu3xd7EDm2NmP_JRBra53NU-HkOxKCqVwL9U8RiytbUyuc9dzuEDv0PM0oyyPoJ3jBPY9srnceXAfIMYVpNcsZ2X2Nk3Z6N_e8NwE5FHBXxgWCk7inx4nZ7T_VASvB2V4qsK6p0ZS48Xqy5LMoHy3lYlTNmJHcQ83LV-MstlJwLtJ_jyz_zU6QI_MT_ZvjMZk9Pn-wyPm5hTHI_BEIRNoPtzRziZqwg0yoRFw.&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF442ACAA41D512B2D64D73FE418EA2B054D0969D6F280
自动化学会,江苏省自动化学会2021年控制理论及应用学术会议在徐州召开,N/A,2021-05-02 11:19:19,"2021年4月24日,江苏省自动化学会2021年控制理论及应用学术会议于江苏师范大学马可音乐厅隆重召开.来自省内外20家研究机构...",https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS2wvcbU8O8iq3pLLk5iKiK3ut9T0q3oY-lqXa8Fplpd9sQYzwmMa4pYvlwqOJDv6iKWQvVLy9kYnEUhZ38qUW1SkhJDHzAoZfK9AimHYlFaCRvP5ZAEQup262fiRNQw7ONdFUn-9ezA3c_Ma9Q-l8nqNInYEaPw3RcvpjGe-BmlJSZ6QI8CCe_p6W8UbyP5zgw7CsU_mB-QAgn0IoGLwOhL2CsG6-xMgzQ..&type=2&query=%E8%87%AA%E5%8A%A8%E5%8C%96%E5%AD%A6%E4%BC%9A&token=73AF88E9E8873073080E46FB1E5DF7C708C4DE2569D6F289
