batch_name,note_id,title,publish_time,note_type,author_id,author_name,like_count,comment_count,collect_count,share_count,url
自动化学会,69c5559b0000000023010a59,自动化学会删除nips,2天前,normal,654adef3000000000301d029,观澜,365,110,36,562,https://www.xiaohongshu.com/explore/69c5559b0000000023010a59?xsec_token=ABlcuaKL5l79lCfbS6UDUAaWZaf2bQcYME7HtCoGCfIQE=
自动化学会,69c63ddf000000002102c0c5,NeurIPS 2026 滑跪,1天前,normal,63ef02a6000000000f012dce,The Amazing Spiderman,8,8,2,26,https://www.xiaohongshu.com/explore/69c63ddf000000002102c0c5?xsec_token=ABm9qi-RrsFOWFBtqHcssvIs5BXsFEaT0G4DSn139ojzQ=
自动化学会,69c5d28d000000001b002d72,中国自动化学会率先将NeurIPS删除,2天前,normal,63afef5c0000000026013ed6,明早几点起,11,0,0,28,https://www.xiaohongshu.com/explore/69c5d28d000000001b002d72?xsec_token=ABlcuaKL5l79lCfbS6UDUAaUIai1VPMEyjmQAAmf5_CbY=
自动化学会,69aa538900000000220311da,中国自动化学会青年科技奖公示,03-06,normal,6986d52700000000210099e5,大大大学生,0,0,0,5,https://www.xiaohongshu.com/explore/69aa538900000000220311da?xsec_token=ABw-dJzE_IuAydEZOxs2_fBNRyn9d743f7xWooJUYG_pg=
自动化学会,69c5e8280000000023024e3c,中国科协不再认可NIPS,2天前,normal,654adef3000000000301d029,观澜,7,0,0,10,https://www.xiaohongshu.com/explore/69c5e8280000000023024e3c?xsec_token=ABlcuaKL5l79lCfbS6UDUAaUkyS9wIGBdft60buUfpFZ4=
自动化学会,69c5c3c2000000001b023503,中国自动化学会率先移出NeurIPS📣,2天前,normal,5c8b0dc900000000120307c2,牛肉面加牛肉,7,0,1,2,https://www.xiaohongshu.com/explore/69c5c3c2000000001b023503?xsec_token=ABlcuaKL5l79lCfbS6UDUAaWlpMu1XA14tRZ6JPPsDu20=
自动化学会,69a0f70c0000000015038ddb,电气自动化到底是干什么！,02-27,normal,6875bd6a000000000d02f0a3,河南大学孵化中心张老师,5,2,3,0,https://www.xiaohongshu.com/explore/69a0f70c0000000015038ddb?xsec_token=ABNegvimRGi2iPXLcaah2fNHZOmATXCE01u3yBviNtrGo=
自动化学会,66f57113000000001a020a84,自动化学会开始评奖,2024-09-26,normal,64abf6b1000000001403ec2c,鲲鹏展翅,71,6,53,73,https://www.xiaohongshu.com/explore/66f57113000000001a020a84?xsec_token=AB_TweepsnkIhNjg_yy6oQEIE27LUxZQBNOaId-ulx9Gg=
自动化学会,68df81f20000000007022d84,【10.13，中国自动化学会–10.15截止招聘】,2025-10-13,normal,64e3459200000000010044e8,摩尼bro,4,0,3,8,https://www.xiaohongshu.com/explore/68df81f20000000007022d84?xsec_token=ABX9r3_hnRJzoCDT7YGt_1lq2cAKjNY8UObdS8i3eCajE=
自动化学会,681415e40000000023011ba2,抓住机遇，迎接挑战！CAC2025！,2025-05-02,normal,5f151e3e0000000001003b57,zwwfyy,3,24,1,2,https://www.xiaohongshu.com/explore/681415e40000000023011ba2?xsec_token=ABWXwzcRqPq3dDfyOwZGfZmWN3y8oZikQk2ulGfHvrSjY=
自动化学会,687a42870000000012031fe2,张雪峰:机械设计永远缺干活的牛马,2025-07-18,normal,681f635400000000060117fb,工程师叶青,289,47,248,47,https://www.xiaohongshu.com/explore/687a42870000000012031fe2?xsec_token=ABa-b3X0UVA_KV_ROBr0i9Di0ZAJPFQKgmNvjWGl7Ubbs=
自动化学会,68e9cd250000000003039a96,自动化大会,2025-10-11,normal,5f156cd60000000001000227,小谢,14,11,3,3,https://www.xiaohongshu.com/explore/68e9cd250000000003039a96?xsec_token=AB_jZYvi9PMd3bUeCXqSFH_X0MmI-wKN62Z4J85GU3cHY=
自动化学会,68651e64000000001001194f,太卷了😮‍💨从青椒卷到了博士生，又到了大学,2025-07-02,normal,640bdc6b000000001001ef11,青椒一枚,11,8,3,3,https://www.xiaohongshu.com/explore/68651e64000000001001194f?xsec_token=ABmTT-C4N3MYzVECE8yXqJ7zdA0vMLoh5IyETexyS2EXs=
王飞跃,66ab75b40000000005032af7,忍不住聊一下我的神仙导师 禁止恶评！,2024-08-01,normal,6211ddf20000000010007702,也无风雨也无晴,156,71,55,161,https://www.xiaohongshu.com/explore/66ab75b40000000005032af7?xsec_token=AB-Lyz1ykC5gNbQsyI2o1C9T265Oviw9SP7at8INpouLc=
王飞跃,66a70f910000000027013a62,学术三观碎一地啊！,2024-07-29,normal,65698604000000002003604d,模拟计算谢老师,54,3,21,143,https://www.xiaohongshu.com/explore/66a70f910000000027013a62?xsec_token=ABUf7ZCZs2I44bbwShYtW3bfijIcIWtPpP-xwCvOKpGiY=
